14-11-16 上午12:29
文件1：announce_plugin.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
50%-74%： 	 1	 14	     71	     84	
无匹配：     	24	530	   6794	   7162	
总共：      	52	620	   7465	   7889	

文件30：idea_plugin.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 19	  51	    544	    554	
与其他文件重复： 	 55	 297	   1891	   2130	
精确匹配：    	 32	  55	    508	    531	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  1	   3	     27	     29	
75%-84%： 	  7	  14	    405	    405	
50%-74%： 	 13	 107	    509	    603	
无匹配：     	 89	 636	   4173	   4710	
总共：      	216	1163	   8057	   8962	

文件31：init_scripts.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	  1	   1	     14	     14	
与其他文件重复： 	 32	  73	    749	    787	
精确匹配：    	 28	  33	    383	    394	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  1	   2	     23	     26	
75%-84%： 	  1	   7	     63	     63	
50%-74%： 	 20	 176	   1141	   1297	
无匹配：     	 75	 759	   5068	   5749	
总共：      	158	1051	   7441	   8330	

文件32：installation.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 1	  4	     25	     28	
与其他文件重复： 	 0	  0	      0	      0	
精确匹配：    	26	 53	    535	    558	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 0	  0	      0	      0	
75%-84%： 	 1	  6	     37	     42	
50%-74%： 	 8	 38	    213	    243	
无匹配：     	30	292	   1743	   2000	
总共：      	66	393	   2553	   2871	

文件33：introduction.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 0	  0	      0	      0	
与其他文件重复： 	 0	  0	      0	      0	
精确匹配：    	30	 61	    553	    580	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 0	  0	      0	      0	
75%-84%： 	 0	  0	      0	      0	
50%-74%： 	 2	 20	    102	    120	
无匹配：     	19	184	   1030	   1194	
总共：      	51	265	   1685	   1894	

文件34：jacoco_plugin.html
         	 片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 18	 39	    322	    344	
与其他文件重复： 	 11	 25	    165	    183	
精确匹配：    	 26	 43	    444	    459	
95%-100%：	  0	  0	      0	      0	
85%-94%： 	  1	 25	    152	    173	
75%-84%： 	  9	 35	    424	    436	
50%-74%： 	 19	137	    983	   1098	
无匹配：     	 69	318	   2420	   2658	
总共：      	153	622	   4910	   5351	

文件35：java_plugin.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 41	 109	    962	   1015	
与其他文件重复： 	123	 299	   2652	   2788	
精确匹配：    	146	 211	   2212	   2237	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  4	  18	    170	    175	
75%-84%： 	 25	 109	   1179	   1213	
50%-74%： 	107	 881	   5284	   6053	
无匹配：     	413	3355	  22025	  24913	
总共：      	859	4982	  34484	  38394	

文件36：javaLibraryDistribution_plugin.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 4	  5	     85	     88	
与其他文件重复： 	12	 40	    267	    296	
精确匹配：    	31	 68	    602	    638	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 1	  3	     48	     50	
75%-84%： 	 0	  0	      0	      0	
50%-74%： 	10	 89	    508	    588	
无匹配：     	14	128	    762	    875	
总共：      	72	333	   2272	   2535	

文件37：jdepend_plugin.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 4	  6	    114	    114	
与其他文件重复： 	25	 84	    530	    588	
精确匹配：    	18	 33	    338	    349	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 1	  3	     30	     32	
75%-84%： 	 2	  4	    109	    109	
50%-74%： 	 6	 38	    234	    266	
无匹配：     	19	106	    720	    806	
总共：      	75	274	   2075	   2264	

文件38：jetty_plugin.html
         	片段	 词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	 1	  1	      7	      7	
与其他文件重复： 	13	 26	    202	    216	
精确匹配：    	31	 70	    556	    591	
95%-100%：	 0	  0	      0	      0	
85%-94%： 	 0	  0	      0	      0	
75%-84%： 	 4	  8	    213	    213	
50%-74%： 	 8	 58	    313	    363	
无匹配：     	31	146	    820	    938	
总共：      	88	309	   2111	   2328	

文件39：logging.html
         	 片段	  词汇	字符（无空白）	字符（含空白）	
本文件内重复：  	  5	  22	    154	    166	
与其他文件重复： 	 12	  38	    341	    353	
精确匹配：    	 32	  61	    518	    548	
95%-100%：	  0	   0	      0	      0	
85%-94%： 	  3	  18	    157	    157	
75%-84%： 	  4	  17	    207	    214	
50%-74%： 	 13	 106	    572	    665	
无匹配：     	 99	 858	   5468	   6197	
